wandb: Tracking run with wandb version 0.17.3
wandb: W&B syncing is set to `offline` in this directory.  
wandb: Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
/home/yongweic/.conda/envs/hypll/lib/python3.10/site-packages/torch/utils/data/dataloader.py:558: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
/home/yongweic/.conda/envs/hypll/lib/python3.10/site-packages/torch/cuda/__init__.py:619: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
/home/yongweic/.conda/envs/hypll/lib/python3.10/site-packages/torch/utils/data/dataloader.py:558: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
{'embedding_dim': 16, 'eval_trials': 100, 'max_steps': 100, 'hyperbolic': False, 'num_epochs': 256, 'temperature': 0.1, 'batch_size': 64, 'num_negatives': 64, 'learning_rate': 0.001, 'architecture': 'MLP', 'maze': '[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]\n [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]\n [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]\n [1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0.]\n [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]\n [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]\n [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]\n [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]\n [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]\n [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]\n [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]', 'num_trajectories': 10000, 'maze_type': 'blocker', 'gamma': 0.1, 'hyp_layers': 2}
gamma: 0.1
/home/yongweic/hyperbolic/train.py:211: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  anchor = torch.tensor(anchor).to(device, torch.float32)
/home/yongweic/hyperbolic/train.py:212: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  positive = torch.tensor(positive).to(device, torch.float32)
/home/yongweic/hyperbolic/train.py:213: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  negatives = torch.tensor(negatives).to(device, torch.float32)
Epoch 1, Loss: 5.084726192389324, SPL: 0.2727676002502944, Failure %: 0.57
Epoch 2, Loss: 4.452410113279987, SPL: 0.442312644868816, Failure %: 0.36
Epoch 3, Loss: 4.176949651377975, SPL: 0.4837570975902307, Failure %: 0.34
Epoch 4, Loss: 4.083122347570528, SPL: 0.4415761139426468, Failure %: 0.42
Epoch 5, Loss: 3.9612089539789093, SPL: 0.39781785309260653, Failure %: 0.45
Epoch 6, Loss: 3.7922968591094777, SPL: 0.41160653851856743, Failure %: 0.44
Epoch 7, Loss: 3.734878696453799, SPL: 0.3938398756205184, Failure %: 0.41
Epoch 8, Loss: 3.6941232817947487, SPL: 0.4761276558810643, Failure %: 0.23
Epoch 9, Loss: 3.5881990217099524, SPL: 0.5847693532712112, Failure %: 0.19
Epoch 10, Loss: 3.625555565402766, SPL: 0.5160916891172496, Failure %: 0.27
Epoch 11, Loss: 3.6506354095070224, SPL: 0.5240397264848696, Failure %: 0.27
Epoch 12, Loss: 3.5163247099347936, SPL: 0.5622450245402235, Failure %: 0.21
Epoch 13, Loss: 3.5381400934450187, SPL: 0.49260833178106084, Failure %: 0.35
Epoch 14, Loss: 3.5311787022147207, SPL: 0.5890384304576566, Failure %: 0.18
Epoch 15, Loss: 3.484209118375353, SPL: 0.4541721963859263, Failure %: 0.31
Epoch 16, Loss: 3.4358640036005883, SPL: 0.5018361135428832, Failure %: 0.22
Epoch 17, Loss: 3.4070505169546528, SPL: 0.5852319432339451, Failure %: 0.24
Epoch 18, Loss: 3.442021202889218, SPL: 0.5561078394732517, Failure %: 0.24
Epoch 19, Loss: 3.445425644042386, SPL: 0.4677638072433307, Failure %: 0.28
Epoch 20, Loss: 3.388387534269102, SPL: 0.5929850742233436, Failure %: 0.2
Epoch 21, Loss: 3.362213846984183, SPL: 0.5999962830539353, Failure %: 0.14
Epoch 22, Loss: 3.340134869715211, SPL: 0.5680011380869784, Failure %: 0.24
Epoch 23, Loss: 3.3307609664406748, SPL: 0.5897050880956549, Failure %: 0.19
Epoch 24, Loss: 3.3169964665819887, SPL: 0.6017643441428953, Failure %: 0.17
