wandb: Tracking run with wandb version 0.17.3
wandb: W&B syncing is set to `offline` in this directory.  
wandb: Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
/home/yongweic/.conda/envs/hypll/lib/python3.10/site-packages/torch/utils/data/dataloader.py:558: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
/home/yongweic/.conda/envs/hypll/lib/python3.10/site-packages/torch/cuda/__init__.py:619: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
/home/yongweic/.conda/envs/hypll/lib/python3.10/site-packages/torch/utils/data/dataloader.py:558: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
{'embedding_dim': 32, 'eval_trials': 100, 'max_steps': 500, 'hyperbolic': False, 'num_epochs': 1024, 'temperature': 0.1, 'batch_size': 128, 'num_negatives': 128, 'learning_rate': 0.001, 'architecture': 'MLP', 'maze': '[[1. 1. 1. ... 1. 1. 1.]\n [1. 1. 1. ... 1. 1. 1.]\n [1. 1. 0. ... 0. 1. 1.]\n ...\n [1. 1. 0. ... 0. 0. 0.]\n [1. 1. 1. ... 0. 0. 0.]\n [1. 1. 1. ... 0. 0. 0.]]', 'num_trajectories': 100000, 'maze_type': 'nested_pyramid', 'gamma': 0.01}
gamma: 0.01
/home/yongweic/hyperbolic/train.py:200: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  anchor = torch.tensor(anchor).to(device, torch.float32)
/home/yongweic/hyperbolic/train.py:201: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  positive = torch.tensor(positive).to(device, torch.float32)
/home/yongweic/hyperbolic/train.py:202: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  negatives = torch.tensor(negatives).to(device, torch.float32)
Epoch 1, Loss: 7.7151767573393215, SPL: 0.04746619603963244, Failure %: 0.91
Epoch 2, Loss: 6.049597947493844, SPL: 0.01968559823375645, Failure %: 0.93
Epoch 3, Loss: 5.9312621693477, SPL: 0.0696906561624641, Failure %: 0.88
Epoch 4, Loss: 5.799590387612658, SPL: 0.06390742097756064, Failure %: 0.87
Epoch 5, Loss: 5.5972190049603165, SPL: 0.014956575532823422, Failure %: 0.93
Epoch 6, Loss: 5.340364320198898, SPL: 0.02070215767545361, Failure %: 0.93
Epoch 7, Loss: 5.194071813007755, SPL: 0.032116944071182624, Failure %: 0.94
Epoch 8, Loss: 5.1205665522524155, SPL: 0.018990024680758295, Failure %: 0.93
Epoch 9, Loss: 5.037739476889295, SPL: 0.026038798961866432, Failure %: 0.9
Epoch 10, Loss: 4.997422268933348, SPL: 0.04008837038451998, Failure %: 0.89
Epoch 11, Loss: 4.944027709838984, SPL: 0.03330007896589145, Failure %: 0.9
Epoch 12, Loss: 4.874214522978839, SPL: 0.05343801710375712, Failure %: 0.86
Epoch 13, Loss: 4.792001368749477, SPL: 0.04254646474785779, Failure %: 0.9
Epoch 14, Loss: 4.746119357740787, SPL: 0.05834478366403461, Failure %: 0.84
Epoch 15, Loss: 4.685234814348733, SPL: 0.06543501400580455, Failure %: 0.87
Epoch 16, Loss: 4.634844180263217, SPL: 0.04800180583040399, Failure %: 0.87
Epoch 17, Loss: 4.56454637928692, SPL: 0.08971108422816011, Failure %: 0.76
Epoch 18, Loss: 4.499644548081986, SPL: 0.0489184722137839, Failure %: 0.86
Epoch 19, Loss: 4.458146263266463, SPL: 0.09115710108561702, Failure %: 0.81
Epoch 20, Loss: 4.421376163392421, SPL: 0.08882962625759742, Failure %: 0.77
Epoch 21, Loss: 4.390777783625571, SPL: 0.12935884034287226, Failure %: 0.72
Epoch 22, Loss: 4.31859521518278, SPL: 0.11098472986966686, Failure %: 0.7
Epoch 23, Loss: 4.274000702001859, SPL: 0.09686062281984065, Failure %: 0.78
Epoch 24, Loss: 4.223026464662284, SPL: 0.09313404827770931, Failure %: 0.76
Epoch 25, Loss: 4.192604595742872, SPL: 0.10213847884442552, Failure %: 0.78
Epoch 26, Loss: 4.159443029662228, SPL: 0.11380110411230161, Failure %: 0.71
Epoch 27, Loss: 4.100882137218095, SPL: 0.17457315416600455, Failure %: 0.65
Epoch 28, Loss: 4.101999670648209, SPL: 0.16081950357302982, Failure %: 0.68
Epoch 29, Loss: 4.030349697298406, SPL: 0.1695115545212814, Failure %: 0.64
