wandb: Tracking run with wandb version 0.17.3
wandb: W&B syncing is set to `offline` in this directory.  
wandb: Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
/home/yongweic/.conda/envs/hypll/lib/python3.10/site-packages/torch/utils/data/dataloader.py:558: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
/home/yongweic/.conda/envs/hypll/lib/python3.10/site-packages/torch/cuda/__init__.py:619: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
/home/yongweic/.conda/envs/hypll/lib/python3.10/site-packages/torch/utils/data/dataloader.py:558: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
{'embedding_dim': 16, 'eval_trials': 100, 'max_steps': 100, 'hyperbolic': False, 'num_epochs': 256, 'temperature': 0.1, 'batch_size': 64, 'num_negatives': 64, 'learning_rate': 0.001, 'architecture': 'MLP', 'maze': '[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]\n [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]\n [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]\n [1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0.]\n [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]\n [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]\n [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]\n [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]\n [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]\n [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]\n [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]', 'num_trajectories': 10000, 'maze_type': 'blocker', 'gamma': 0.1, 'hyp_layers': 2}
gamma: 0.1
/home/yongweic/hyperbolic/train.py:211: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  anchor = torch.tensor(anchor).to(device, torch.float32)
/home/yongweic/hyperbolic/train.py:212: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  positive = torch.tensor(positive).to(device, torch.float32)
/home/yongweic/hyperbolic/train.py:213: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  negatives = torch.tensor(negatives).to(device, torch.float32)
Epoch 1, Loss: 5.434774374506276, SPL: 0.45820701561538024, Failure %: 0.47
Epoch 2, Loss: 4.454143958486569, SPL: 0.23381854182385717, Failure %: 0.63
Epoch 3, Loss: 4.209225643971923, SPL: 0.27598234429244245, Failure %: 0.54
Epoch 4, Loss: 4.0617012430907815, SPL: 0.2771403830917877, Failure %: 0.57
Epoch 5, Loss: 3.873320376037792, SPL: 0.5324559038195299, Failure %: 0.29
Epoch 6, Loss: 3.800404443862332, SPL: 0.4359879372165921, Failure %: 0.41
Epoch 7, Loss: 3.6752337953846927, SPL: 0.39916851376471113, Failure %: 0.43
Epoch 8, Loss: 3.660505032083791, SPL: 0.5218533151595958, Failure %: 0.31
Epoch 9, Loss: 3.631604706405834, SPL: 0.47266733056167587, Failure %: 0.38
Epoch 10, Loss: 3.6189646477911883, SPL: 0.5488874401679567, Failure %: 0.28
Epoch 11, Loss: 3.5951913693907915, SPL: 0.45465324785172895, Failure %: 0.33
Epoch 12, Loss: 3.441656120263847, SPL: 0.5835675307262479, Failure %: 0.29
Epoch 13, Loss: 3.4932369699903356, SPL: 0.4658372238707657, Failure %: 0.34
Epoch 14, Loss: 3.416727234603493, SPL: 0.5671400321792929, Failure %: 0.3
Epoch 15, Loss: 3.354794641968551, SPL: 0.5644673032097048, Failure %: 0.24
Epoch 16, Loss: 3.4032527155177608, SPL: 0.5138532374186169, Failure %: 0.24
Epoch 17, Loss: 3.3086406000100883, SPL: 0.48224839827381627, Failure %: 0.27
Epoch 18, Loss: 3.368844799175384, SPL: 0.5811195658976833, Failure %: 0.21
Epoch 19, Loss: 3.2675262226420605, SPL: 0.5761908688802273, Failure %: 0.22
Epoch 20, Loss: 3.2590464118180003, SPL: 0.5522617594863121, Failure %: 0.19
Epoch 21, Loss: 3.2861525404984784, SPL: 0.6450515083835779, Failure %: 0.11
Epoch 22, Loss: 3.251004589591057, SPL: 0.3652683485330057, Failure %: 0.42
Epoch 23, Loss: 3.2757943405467236, SPL: 0.39054595893915284, Failure %: 0.38
Epoch 24, Loss: 3.233916319099961, SPL: 0.5209160685688224, Failure %: 0.29
Epoch 25, Loss: 3.1989202605690927, SPL: 0.496885325280033, Failure %: 0.24
